ID,Area,Perimeter
sd21_10xs1a5.tiff,1138.724867,454.2497802
sd16_10x2a9.tiff,1125.98312,379.2447275
sd21_10xs33.tiff,1607.543463,529.989894
sd14_10x91.tiff,419.0523334,201.4385988
sd29_10x4a12.tiff,1339.839185,452.835567
sd15_10x6a5.tiff,944.3322088,353.5462426
sd22_10x2a3.tiff,913.8952039,386.9188263
sd4_10x42.tiff,446.99319,204.8528123
sd7_10xs1a7.tiff,1158.984144,442.7350616
sd12_10x2a1.tiff,842.1642414,346.6934311
sd16_10x2a12.tiff,819.2338035,308.7350616
sd29_10xs1a1.tiff,1646.085834,553.1787133
sd27_10xs54.tiff,1523.779846,526.8843373
sd15_10x2a2.tiff,880.9230723,328.1665199
sd16_10xs2a1.tiff,1179.217273,382.943212
sd1_10x3a1.tiff,411.1265482,185.9827549
sd3_10x1a2.tiff,450.6417283,203.5807337
sd27_10x8a4.tiff,1366.295017,464.7005739
sd27_10xs42.tiff,1134.741561,411.6883787
sd9_10x1a5.tiff,1429.712796,495.5289984
sd14_10x68.tiff,691.626593,289.3208482
sd12_10x3a5.tiff,953.7371802,389.889389
sd14_10x87.tiff,296.0267464,155.2964633
sd3_10x5a5.tiff,461.5352528,204.4264057
sd15_10x3a6.tiff,1048.598351,392.5929265
sd30_10xs2a2.tiff,1306.690459,455.9482645
sd20_10x5a3.tiff,609.8278391,276.6934314
sd18_10x3a2.tiff,540.593672,244.0243855
sd29_10x1a8.tiff,1645.900309,514.055909
sd9_10x5a2.tiff,1287.46783,457.0609617
sd15_10x4a4.tiff,922.8260498,370.0071403
sd20_10x2a1.tiff,1904.821669,618.7005718
sd28_10x11.tiff,185.6713935,108.6690462
sd7_10xs34.tiff,942.551994,389.5807339
sd15_10xs54.tiff,1136.100525,384.717816
sd22_10x4a5.tiff,933.3268406,350.7523071
sd21_10x23.tiff,2320.229195,682.6589417
sd3_10x73.tiff,553.8102416,235.7644992
sd9_10x3a4.tiff,1862.769191,569.0092282
sd22_10x1a6.tiff,1539.495328,523.7127657
sd3_10x3a3.tiff,696.1026275,278.1076459
sd12_10x5a3.tiff,788.6393601,331.1198382
sd1_10x8a3.tiff,719.8913146,308.3086557
sd3_10x65.tiff,400.291301,189.6396096
sd18_10x1a3.tiff,704.7489733,325.3624808
sd29_10x3a9.tiff,2067.551328,617.0954524
sd9_10x7a3.tiff,651.9745217,287.3797231
sd22_10x5a1.tiff,1813.304366,569.9726487
sd12_10x1a4.tiff,413.4538401,197.7401141
sd7_10xs2a2.tiff,1061.274265,416.3919166
sd22_10x2a11.tiff,2286.796757,658.1635561
sd16_10x3a13.tiff,997.0192048,375.7645004
sd15_10xs42.tiff,1123.142415,393.8650042
sd20_10x26.tiff,789.8252697,334.8183213
sd29_10x10a1.tiff,675.3229975,322.9777024
sd3_10x45.tiff,824.0831754,333.4213533
sd29_10x4a7.tiff,1189.244105,445.9898955
sd24_10x4a3.tiff,2479.208674,705.948265
sd30_10x8a6.tiff,561.8223583,243.6812392
sd1_10x22.tiff,386.1579064,187.9827547
sd16_10x2a5.tiff,1368.291037,471.1442229
sd7_10X4a5.tiff,879.8492899,337.1614683
sd30_10x1a5.tiff,1241.207507,443.9310194
sd29_10x9a3.tiff,1054.41111,398.3746703
sd2_10x2a2.tiff,850.7505251,315.8061297
sd13_10x4a2.tiff,640.4155477,262.2081501
sd11_10x6a1.tiff,363.8537091,176.6101712
sd30_10x5a2.tiff,1575.580309,530.8183218
sd5_10x2a1.tiff,1089.614134,377.9238799
sd14_10x4a1.tiff,871.896782,336.6345562
sd19_10x4a5.tiff,573.2586631,264.1492773
sd24_10x5a7.tiff,2307.087629,676.5828201
sd13_10x1a1.tiff,338.0465089,165.0538223
sd11_10x3a2.tiff,1505.148135,508.5168074
sd29_10x5a3.tiff,1330.858326,468.0731543
sd19_10x1a6.tiff,1235.152101,440.2741656
sd16_10x3a1.tiff,672.614741,268.0487697
sd2_10x3a6.tiff,431.7515996,196.2253956
sd26_10x3a3.tiff,342.8772556,164.1248909
sd29_10x8a7.tiff,1050.239444,403.7228696
sd29_10x1a4.tiff,1859.496604,609.938161
sd19_10x5a1.tiff,2064.222558,642.7077122
sd14_10x64.tiff,617.029977,259.0365785
sd9_10xs1a2.tiff,1676.468495,519.5289989
sd14_10x5a5.tiff,594.8608357,241.2203444
sd30_10x4a6.tiff,1583.957436,509.5634898
sd12_10x3a9.tiff,1202.012398,410.7350614
sd19_10x2a3.tiff,846.3000055,326.1665202
sd14_10x3a10.tiff,612.4631449,261.1959577
